Geo Point;Geo Shape;gml_id;objectid;accident;unite_pv;date;heure;jsem;code_insee;inter;adresse;pr;nomv;numvro;pr_2;nomv_2;numvro_2;vehicule1;vehicule2;vehicule3;vehicule4;vehicule5;vehicule6;usager1;usager2;usager3;usager4;usager5;usager6;usager7;usager8;ntu;nbh;nbnh;pieton;velo;moto;wms_time
48.02012000416951, -1.6908600010097126;"{""coordinates"": [-1.690860001009713, 48.02012000416951], ""type"": ""Point""}";accident.4089;4089;1496;Gendarmerie Nationale 0028304 00464;2015-07-03T02:00:00+02:00;21:45;Vendredi;35363;hors intersection;;0036+0460;;;;;;VL;;;;;;Conducteur;Passager;Piéton;;;;;;1;1;0;Oui;Non;Non;2015-01-01T01:00:00+01:00
48.0845875073997, -1.6768420257435492;"{""coordinates"": [-1.676842025743549, 48.0845875073997], ""type"": ""Point""}";accident.4143;4143;3161;Sécurité publique 0035238 00001;2017-12-28T01:00:00+01:00;19:08;Jeudi;35238;hors intersection;BOSPHORE (DU);;;0;;;0;VL;;;;;;Conducteur;Piéton;;;;;;;0;0;1;Oui;Non;Non;2017-01-01T01:00:00+01:00
48.1074900000016, -1.677829999999933;"{""coordinates"": [-1.67783, 48.1074900000016], ""type"": ""Point""}";accident.4187;4187;66524207;SP/35238/52;2020-02-03T01:00:00+01:00;21:45;Lundi;35238;En X;LIBERTE (BD DE LA);N/C;LIBERTE (BD DE LA);;0+0;LIBERTE (BD DE LA);;Véhicule de tourisme (VT);;;;;;Conducteur;Piéton;;;;;;;0;1;0;Oui;Non;Non;2020-01-01T01:00:00+01:00
48.107410015394166, -1.6761300296300523;"{""coordinates"": [-1.676130029630052, 48.107410015394166], ""type"": ""Point""}";accident.4207;4207;3263;Sécurité publique 0035238 00296;2017-06-28T02:00:00+02:00;10:10;Mercredi;35238;hors intersection;13, LIBERTE (BD DE LA);;;0;;;0;VL;;;;;;Conducteur;Piéton;Piéton;Piéton;;;;;0;0;3;Oui;Non;Non;2017-01-01T01:00:00+01:00
48.13500999999852, -1.6936100000032182;"{""coordinates"": [-1.693610000003218, 48.13500999999852], ""type"": ""Point""}";accident.4295;4295;63477686;SP/35238/62;2019-02-08T01:00:00+01:00;19:30;Vendredi;35278;Giratoire;ROBIQUETTE (ROND POINT DE LA);0+0;ROBIQUETTE (ROND POINT DE LA);;0+0;ROBIQUETTE (ROND POINT DE LA);;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;Piéton;;;;;;0;0;1;Oui;Non;Non;2019-01-01T01:00:00+01:00
48.1054007280398, -1.7084471036863105;"{""coordinates"": [-1.70844710368631, 48.1054007280398], ""type"": ""Point""}";accident.4302;4302;2096;Sécurité publique 0035238 00019;2016-12-27T01:00:00+01:00;18:00;Mardi;35238;Giratoire;VALLES/RP NORMANDIE NIEM;;Rond-point Escadrille Normandie-Niemen;0;;Allée Louis Lucipia;0;VL;;;;;;Conducteur;Piéton;;;;;;;0;0;1;Oui;Non;Non;2016-01-01T01:00:00+01:00
48.08815080466887, -1.6757887672357719;"{""coordinates"": [-1.675788767235772, 48.08815080466887], ""type"": ""Point""}";accident.4314;4314;2257;Sécurité publique 0035238 00099;2016-03-09T01:00:00+01:00;14:36;Mercredi;35238;hors intersection;2, COURS HELSINKI;;Cours d'Helsinki;0;;;0;VL;;;;;;Conducteur;Piéton;;;;;;;0;0;1;Oui;Non;Non;2016-01-01T01:00:00+01:00
48.08660972083482, -1.6711697732318895;"{""coordinates"": [-1.67116977323189, 48.08660972083482], ""type"": ""Point""}";accident.4406;4406;1025;Sécurité publique 0035238 00044;2013-01-31T01:00:00+01:00;16:00;Jeudi;35238;hors intersection;RUE D'ESPAGNE;;Rue d'Espagne;0;;;0;VL;;;;;;Piéton;Conducteur;;;;;;;0;0;1;Oui;Non;Non;2013-01-01T01:00:00+01:00
48.1378499999969, -1.685910000001275;"{""coordinates"": [-1.685910000001275, 48.1378499999969], ""type"": ""Point""}";accident.4409;4409;63462239;SP/35238/94;2019-03-14T01:00:00+01:00;12:40;Jeudi;35278;Giratoire;ETANG DU DIABLE (RUE DE L');0+0;ETANG DU DIABLE (RUE DE L');;;;;Véhicule de tourisme (VT);;;;;;Conducteur;Piéton;;;;;;;0;1;0;Oui;Non;Non;2019-01-01T01:00:00+01:00
48.0845999999996, -1.660729999997412;"{""coordinates"": [-1.660729999997412, 48.0845999999996], ""type"": ""Point""}";accident.4429;4429;66554666;SP/35238/182;2020-06-24T02:00:00+02:00;12:00;Mercredi;35238;En X;PAYS-BAS (AVENUE DES);N/C;PAYS-BAS (AVENUE DES);;N/C;PAYS-BAS (AVENUE DES);;Véhicule de tourisme (VT);Autre engin de déplacement personnel (EDP) sans moteur;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Oui;Non;Non;2020-01-01T01:00:00+01:00
