Geo Point;Geo Shape;gml_id;id;id_troncon;annee_debut;annee_fin;nb_accident;nb_tue;nb_bh;nb_bnh;wms_time
48.12455525842799, -1.709558014119757;"{""coordinates"": [-1.709558014119757, 48.12455525842799], ""type"": ""Point""}";accident_horsintersection_cumul5.8501;8501;56022;2019;2023;1;0;0;1;2023-01-01T01:00:00+01:00
48.08465815219421, -1.6608227437216403;"{""coordinates"": [-1.66082274372164, 48.08465815219421], ""type"": ""Point""}";accident_horsintersection_cumul5.8505;8505;56129;2019;2023;1;0;0;1;2023-01-01T01:00:00+01:00
48.091298985348445, -1.6565170335132258;"{""coordinates"": [-1.656517033513226, 48.091298985348445], ""type"": ""Point""}";accident_horsintersection_cumul5.8509;8509;56233;2019;2023;2;0;0;2;2023-01-01T01:00:00+01:00
48.09137894621963, -1.652432573557197;"{""coordinates"": [-1.652432573557197, 48.09137894621963], ""type"": ""Point""}";accident_horsintersection_cumul5.8510;8510;56260;2019;2023;1;0;0;1;2023-01-01T01:00:00+01:00
48.091234486813654, -1.6524365930763802;"{""coordinates"": [-1.65243659307638, 48.091234486813654], ""type"": ""Point""}";accident_horsintersection_cumul5.8511;8511;56261;2019;2023;2;0;0;2;2023-01-01T01:00:00+01:00
48.08770013599112, -1.652302243822777;"{""coordinates"": [-1.652302243822777, 48.08770013599112], ""type"": ""Point""}";accident_horsintersection_cumul5.8514;8514;56322;2019;2023;1;0;0;1;2023-01-01T01:00:00+01:00
48.11212345693951, -1.6192837044261719;"{""coordinates"": [-1.619283704426172, 48.11212345693951], ""type"": ""Point""}";accident_horsintersection_cumul5.8519;8519;56620;2019;2023;1;0;0;1;2023-01-01T01:00:00+01:00
48.112885091523566, -1.7187726718149328;"{""coordinates"": [-1.718772671814933, 48.112885091523566], ""type"": ""Point""}";accident_horsintersection_cumul5.8523;8523;56872;2019;2023;6;0;0;10;2023-01-01T01:00:00+01:00
48.13077786874599, -1.6699298413994879;"{""coordinates"": [-1.669929841399488, 48.13077786874599], ""type"": ""Point""}";accident_horsintersection_cumul5.8525;8525;56886;2019;2023;1;0;0;1;2023-01-01T01:00:00+01:00
48.23108193378499, -1.876506085797654;"{""coordinates"": [-1.876506085797654, 48.23108193378499], ""type"": ""Point""}";accident_horsintersection_cumul5.8548;8548;61106;2019;2023;1;1;0;0;2023-01-01T01:00:00+01:00
48.21611101508226, -1.835273791115373;"{""coordinates"": [-1.835273791115373, 48.21611101508226], ""type"": ""Point""}";accident_horsintersection_cumul5.8550;8550;61267;2019;2023;1;1;0;1;2023-01-01T01:00:00+01:00
48.214787079603276, -1.8924626757657446;"{""coordinates"": [-1.892462675765745, 48.214787079603276], ""type"": ""Point""}";accident_horsintersection_cumul5.8551;8551;61366;2019;2023;1;0;0;2;2023-01-01T01:00:00+01:00
48.296397266245734, -1.9356258063324328;"{""coordinates"": [-1.935625806332433, 48.296397266245734], ""type"": ""Point""}";accident_horsintersection_cumul5.8553;8553;62153;2019;2023;1;0;1;0;2023-01-01T01:00:00+01:00
48.12997167229311, -1.641455621698306;"{""coordinates"": [-1.641455621698306, 48.12997167229311], ""type"": ""Point""}";accident_horsintersection_cumul5.8558;8558;62632;2019;2023;1;0;0;1;2023-01-01T01:00:00+01:00
48.105136905628875, -1.6982817842138282;"{""coordinates"": [-1.698281784213828, 48.105136905628875], ""type"": ""Point""}";accident_horsintersection_cumul5.8561;8561;62831;2019;2023;1;0;0;1;2023-01-01T01:00:00+01:00
48.10839895254089, -1.6937314561644754;"{""coordinates"": [-1.693731456164475, 48.10839895254089], ""type"": ""Point""}";accident_horsintersection_cumul5.8573;8573;64046;2019;2023;2;0;1;1;2023-01-01T01:00:00+01:00
48.125825425012145, -1.6574692036213587;"{""coordinates"": [-1.657469203621359, 48.125825425012145], ""type"": ""Point""}";accident_horsintersection_cumul5.8577;8577;64110;2019;2023;1;0;0;1;2023-01-01T01:00:00+01:00
48.11141324414726, -1.6860981076580437;"{""coordinates"": [-1.686098107658044, 48.11141324414726], ""type"": ""Point""}";accident_horsintersection_cumul5.8582;8582;65068;2019;2023;1;0;0;1;2023-01-01T01:00:00+01:00
48.085266413988016, -1.6285882516137287;"{""coordinates"": [-1.628588251613729, 48.085266413988016], ""type"": ""Point""}";accident_horsintersection_cumul5.8585;8585;65671;2019;2023;1;0;0;1;2023-01-01T01:00:00+01:00
