annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2024;Janvier;2024-01-01;Lundi;1;3;C3;CHRONOSTAR;CHRONOSTAR;956.47059
2024;Janvier;2024-01-01;Lundi;1;4;C4;CHRONOSTAR;CHRONOSTAR;2727.05882
2024;Janvier;2024-01-01;Lundi;1;50;50;Métropolitaine;Régulières Métropolitaines;163.52941
2024;Janvier;2024-01-01;Lundi;1;52;52;Métropolitaine;Régulières Métropolitaines;288.23529
2024;Janvier;2024-01-01;Lundi;1;72;72;Métropolitaine;Régulières Métropolitaines;396.47059
2024;Janvier;2024-01-02;Mardi;1;3;C3;CHRONOSTAR;CHRONOSTAR;6354.11765
2024;Janvier;2024-01-02;Mardi;1;39;39;Inter-quartiers;Régulières Urbaines;4.70588
2024;Janvier;2024-01-02;Mardi;1;55;55;Métropolitaine;Régulières Métropolitaines;1755.29412
2024;Janvier;2024-01-02;Mardi;1;56;56;Métropolitaine;Régulières Métropolitaines;652.94118
2024;Janvier;2024-01-02;Mardi;1;61;61;Métropolitaine;Régulières Métropolitaines;977.64706
2024;Janvier;2024-01-02;Mardi;1;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;2769.8452
2024;Janvier;2024-01-03;Mercredi;1;1;C1;CHRONOSTAR;CHRONOSTAR;13202.35294
2024;Janvier;2024-01-03;Mercredi;1;5;C5;CHRONOSTAR;CHRONOSTAR;9176.47059
2024;Janvier;2024-01-03;Mercredi;1;47;C7ex;CHRONOSTAR;CHRONOSTAR;177.64706
2024;Janvier;2024-01-03;Mercredi;1;53;53;Métropolitaine;Régulières Métropolitaines;1917.64706
2024;Janvier;2024-01-03;Mercredi;1;59;59;Métropolitaine;Régulières Métropolitaines;1515.29412
2024;Janvier;2024-01-03;Mercredi;1;83;83;Métropolitaine;Régulières Métropolitaines;462.35294
2024;Janvier;2024-01-03;Mercredi;1;91;91;Intercommunale;Régulières Métropolitaines;81.17647
2024;Janvier;2024-01-04;Jeudi;1;1;C1;CHRONOSTAR;CHRONOSTAR;13515.29412
2024;Janvier;2024-01-04;Jeudi;1;11;11;Urbaine;Régulières Urbaines;8228.23529
2024;Janvier;2024-01-04;Jeudi;1;12;12;Urbaine;Régulières Urbaines;3295.29412
2024;Janvier;2024-01-04;Jeudi;1;14;14;Urbaine;Régulières Urbaines;4824.70588
2024;Janvier;2024-01-04;Jeudi;1;59;59;Métropolitaine;Régulières Métropolitaines;1689.41176
2024;Janvier;2024-01-04;Jeudi;1;61;61;Métropolitaine;Régulières Métropolitaines;1323.52941
2024;Janvier;2024-01-04;Jeudi;1;76;76;Métropolitaine;Régulières Métropolitaines;485.88235
2024;Janvier;2024-01-04;Jeudi;1;79;79;Métropolitaine;Régulières Métropolitaines;260.0
2024;Janvier;2024-01-04;Jeudi;1;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;2582.35294
2024;Janvier;2024-01-05;Vendredi;1;3;C3;CHRONOSTAR;CHRONOSTAR;10294.11765
2024;Janvier;2024-01-05;Vendredi;1;5;C5;CHRONOSTAR;CHRONOSTAR;10936.47059
2024;Janvier;2024-01-05;Vendredi;1;7;C7;CHRONOSTAR;CHRONOSTAR;1592.94118
2024;Janvier;2024-01-05;Vendredi;1;12;12;Urbaine;Régulières Urbaines;3618.82353
2024;Janvier;2024-01-05;Vendredi;1;14;14;Urbaine;Régulières Urbaines;5460.0
2024;Janvier;2024-01-05;Vendredi;1;52;52;Métropolitaine;Régulières Métropolitaines;9.41176
2024;Janvier;2024-01-05;Vendredi;1;61;61;Métropolitaine;Régulières Métropolitaines;1298.82353
2024;Janvier;2024-01-05;Vendredi;1;70;70;Métropolitaine;Régulières Métropolitaines;72.94118
2024;Janvier;2024-01-05;Vendredi;1;74;74;Métropolitaine;Régulières Métropolitaines;855.29412
2024;Janvier;2024-01-05;Vendredi;1;77;77;Métropolitaine;Régulières Métropolitaines;1538.82353
2024;Janvier;2024-01-05;Vendredi;1;80;80;Métropolitaine;Régulières Métropolitaines;429.41176
2024;Janvier;2024-01-05;Vendredi;1;178;178ex;Express;Régulières Métropolitaines;97.64706
2024;Janvier;2024-01-05;Vendredi;1;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;3114.30341
2024;Janvier;2024-01-06;Samedi;1;12;12;Urbaine;Régulières Urbaines;2018.82353
2024;Janvier;2024-01-06;Samedi;1;50;50;Métropolitaine;Régulières Métropolitaines;418.82353
2024;Janvier;2024-01-06;Samedi;1;52;52;Métropolitaine;Régulières Métropolitaines;1347.05882
2024;Janvier;2024-01-06;Samedi;1;65;65;Métropolitaine;Régulières Métropolitaines;317.64706
2024;Janvier;2024-01-06;Samedi;1;91;91;Intercommunale;Régulières Métropolitaines;40.0
2024;Janvier;2024-01-06;Samedi;1;121;N1;STAR de Nuit;Régulières Urbaines;95.29412
2024;Janvier;2024-01-06;Samedi;1;124;N4;STAR de Nuit;Régulières Urbaines;68.23529
2024;Janvier;2024-01-06;Samedi;1;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;2508.66873
2024;Janvier;2024-01-07;Dimanche;1;1;C1;CHRONOSTAR;CHRONOSTAR;4327.05882
2024;Janvier;2024-01-07;Dimanche;1;67;67;Métropolitaine;Régulières Métropolitaines;3.52941
2024;Janvier;2024-01-07;Dimanche;1;71;71;Métropolitaine;Régulières Métropolitaines;102.35294
2024;Janvier;2024-01-07;Dimanche;1;81;81;Métropolitaine;Régulières Métropolitaines;145.88235
2024;Janvier;2024-01-07;Dimanche;1;1001;a;Métro;METRO;48706.33428
2024;Janvier;2024-01-07;Dimanche;1;9999;9999;Non identifié;Non identifiée;178.82353
2024;Janvier;2024-01-08;Lundi;2;4;C4;CHRONOSTAR;CHRONOSTAR;23742.35294
2024;Janvier;2024-01-08;Lundi;2;55;55;Métropolitaine;Régulières Métropolitaines;2530.58824
2024;Janvier;2024-01-08;Lundi;2;56;56;Métropolitaine;Régulières Métropolitaines;945.88235
2024;Janvier;2024-01-08;Lundi;2;61;61;Métropolitaine;Régulières Métropolitaines;1674.11765
2024;Janvier;2024-01-08;Lundi;2;65;65;Métropolitaine;Régulières Métropolitaines;1016.47059
2024;Janvier;2024-01-08;Lundi;2;91;91;Intercommunale;Régulières Métropolitaines;611.76471
2024;Janvier;2024-01-08;Lundi;2;153;153ex;Express;Régulières Métropolitaines;424.70588
2024;Janvier;2024-01-08;Lundi;2;155;155ex;Express;Régulières Métropolitaines;374.11765
2024;Janvier;2024-01-08;Lundi;2;165;165ex;Express;Régulières Métropolitaines;17.64706
2024;Janvier;2024-01-01;Lundi;1;1;C1;CHRONOSTAR;CHRONOSTAR;1823.52941
2024;Janvier;2024-01-08;Lundi;2;802;b relais;Spéciale;METRO;16280.0
2024;Janvier;2024-01-01;Lundi;1;11;11;Urbaine;Régulières Urbaines;841.17647
2024;Janvier;2024-01-08;Lundi;2;804;TTZ;Spéciale;Régulières Métropolitaines;28.23529
2024;Janvier;2024-01-01;Lundi;1;53;53;Métropolitaine;Régulières Métropolitaines;394.11765
2024;Janvier;2024-01-08;Lundi;2;1001;a;Métro;METRO;132156.12236
2024;Janvier;2024-01-01;Lundi;1;61;61;Métropolitaine;Régulières Métropolitaines;323.52941
2024;Janvier;2024-01-09;Mardi;2;6;C6;CHRONOSTAR;CHRONOSTAR;14710.58824
2024;Janvier;2024-01-01;Lundi;1;62;62;Métropolitaine;Régulières Métropolitaines;365.88235
2024;Janvier;2024-01-09;Mardi;2;14;14;Urbaine;Régulières Urbaines;8587.05882
2024;Janvier;2024-01-01;Lundi;1;81;81;Métropolitaine;Régulières Métropolitaines;117.64706
2024;Janvier;2024-01-09;Mardi;2;61;61;Métropolitaine;Régulières Métropolitaines;1736.47059
2024;Janvier;2024-01-01;Lundi;1;1002;b;Métro;METRO;24453.5435
2024;Janvier;2024-01-09;Mardi;2;67;67;Métropolitaine;Régulières Métropolitaines;2112.94118
2024;Janvier;2024-01-02;Mardi;1;1;C1;CHRONOSTAR;CHRONOSTAR;7395.29412
2024;Janvier;2024-01-09;Mardi;2;74;74;Métropolitaine;Régulières Métropolitaines;1372.94118
2024;Janvier;2024-01-02;Mardi;1;2;C2;CHRONOSTAR;CHRONOSTAR;7888.23529
2024;Janvier;2024-01-09;Mardi;2;76;76;Métropolitaine;Régulières Métropolitaines;945.88235
2024;Janvier;2024-01-02;Mardi;1;6;C6;CHRONOSTAR;CHRONOSTAR;6775.29412
2024;Janvier;2024-01-09;Mardi;2;81;81;Métropolitaine;Régulières Métropolitaines;628.23529
2024;Janvier;2024-01-02;Mardi;1;7;C7;CHRONOSTAR;CHRONOSTAR;1582.35294
2024;Janvier;2024-01-09;Mardi;2;82;82;Métropolitaine;Régulières Métropolitaines;471.76471
2024;Janvier;2024-01-02;Mardi;1;14;14;Urbaine;Régulières Urbaines;3683.52941
2024;Janvier;2024-01-09;Mardi;2;90;90;Intercommunale;Régulières Métropolitaines;70.58824
2024;Janvier;2024-01-02;Mardi;1;37;37;Inter-quartiers;Régulières Urbaines;71.76471
2024;Janvier;2024-01-09;Mardi;2;91;91;Intercommunale;Régulières Métropolitaines;558.82353
2024;Janvier;2024-01-02;Mardi;1;54;54;Métropolitaine;Régulières Métropolitaines;1774.11765
2024;Janvier;2024-01-09;Mardi;2;156;156ex;Express;Régulières Métropolitaines;171.76471
2024;Janvier;2024-01-02;Mardi;1;67;67;Métropolitaine;Régulières Métropolitaines;1089.41176
2024;Janvier;2024-01-09;Mardi;2;167;167ex;Express;Régulières Métropolitaines;98.82353
2024;Janvier;2024-01-02;Mardi;1;71;71;Métropolitaine;Régulières Métropolitaines;290.58824
2024;Janvier;2024-01-09;Mardi;2;173;173ex;Express;Régulières Métropolitaines;185.88235
2024;Janvier;2024-01-02;Mardi;1;73;73;Métropolitaine;Régulières Métropolitaines;471.76471
2024;Janvier;2024-01-09;Mardi;2;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;2416.53251
2024;Janvier;2024-01-02;Mardi;1;77;77;Métropolitaine;Régulières Métropolitaines;1262.35294
2024;Janvier;2024-01-10;Mercredi;2;2;C2;CHRONOSTAR;CHRONOSTAR;13803.52941
2024;Janvier;2024-01-02;Mardi;1;79;79;Métropolitaine;Régulières Métropolitaines;147.05882
2024;Janvier;2024-01-10;Mercredi;2;7;C7;CHRONOSTAR;CHRONOSTAR;2764.70588
2024;Janvier;2024-01-02;Mardi;1;90;90;Intercommunale;Régulières Métropolitaines;1.17647
2024;Janvier;2024-01-10;Mercredi;2;37;37;Inter-quartiers;Régulières Urbaines;236.47059
2024;Janvier;2024-01-02;Mardi;1;161;161ex;Express;Régulières Métropolitaines;198.82353
2024;Janvier;2024-01-10;Mercredi;2;50;50;Métropolitaine;Régulières Métropolitaines;907.05882
2024;Janvier;2024-01-02;Mardi;1;1001;a;Métro;METRO;80868.72279
2024;Janvier;2024-01-10;Mercredi;2;53;53;Métropolitaine;Régulières Métropolitaines;2654.11765
2024;Janvier;2024-01-03;Mercredi;1;2;C2;CHRONOSTAR;CHRONOSTAR;9129.41176
2024;Janvier;2024-01-10;Mercredi;2;67;67;Métropolitaine;Régulières Métropolitaines;2152.94118
2024;Janvier;2024-01-03;Mercredi;1;50;50;Métropolitaine;Régulières Métropolitaines;649.41176
2024;Janvier;2024-01-10;Mercredi;2;70;70;Métropolitaine;Régulières Métropolitaines;111.76471
2024;Janvier;2024-01-03;Mercredi;1;51;51;Métropolitaine;Régulières Métropolitaines;652.94118
