Equipement (ID);Nom;Station (ID);Station (nom);Coordonnées;Etat;Dernière mise à jour;Identifiant de la Ligne de métro (linéo);type;typecourt
ANF_DAT52002;Distributeur 2;15004;Anatole France;48.1181370954485, -1.68759952143562;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
ANF_DAT52001;Distributeur 1;15004;Anatole France;48.1181370954485, -1.68759952143562;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
ASC_ANF_2;Quai vers Kennedy <-> Salle des billets;15004;Anatole France;48.1181370954485, -1.68759952143562;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
ASC_ATA_1;Quai vers Viasilva <-> Extérieur;15051;Atalante;48.127146027774, -1.62802297006244;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_ANF_1;Quai vers Kennedy <-> Salle des billets;15004;Anatole France;48.1181370954485, -1.68759952143562;En fonctionnement;2025-06-19T01:23:00+02:00;1001;Ascenseur;ASC
ASC_ATA_2;Quai vers Gaîté <-> Extérieur;15051;Atalante;48.127146027774, -1.62802297006244;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_BUN_1;Quai vers Viasilva <-> Salle des billets (extérieur);15052;Beaulieu - Université;48.1221291972709, -1.63911623985879;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_ANF_3;Quai vers La Poterie <-> Salle des billets;15004;Anatole France;48.1181370954485, -1.68759952143562;En fonctionnement;2025-06-19T14:10:00+02:00;1001;Ascenseur;ASC
ASC_BLO_2;Quai vers La Poterie <-> Extérieur;15014;Le Blosne;48.0877318776703, -1.65427829648798;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
ASC_BUN_2;Quai vers Gaîté <-> Salle des billets (extérieur);15052;Beaulieu - Université;48.1221291972709, -1.63911623985879;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_ANF_4;Quai vers La Poterie <-> Salle des billets;15004;Anatole France;48.1181370954485, -1.68759952143562;En fonctionnement;2025-06-19T13:25:30+02:00;1001;Ascenseur;ASC
ASC_CLE_1;Quai vers Viasilva <-> Salle des billets;15062;Cleunay;48.1010024445846, -1.70640767697345;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_CLE_3;Salle des billets <-> Extérieur;15062;Cleunay;48.1010024445846, -1.70640767697345;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_BLO_1;Quai vers Kennedy <-> Extérieur;15014;Le Blosne;48.0877318776703, -1.65427829648798;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
ASC_CLE_2;Quai vers Gaîté <-> Salle des billets;15062;Cleunay;48.1010024445846, -1.70640767697345;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_COL_3;Salle des billets <-> Extérieur;15060;Colombier;48.1058903932463, -1.68215432052243;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_CDG_1;Quai vers Kennedy <-> Salle des billets;15007;Charles de Gaulle;48.1054604488328, -1.67682850261658;En fonctionnement;2025-06-19T05:00:11+02:00;1001;Ascenseur;ASC
ASC_COL_1;Quai vers Viasilva <-> Salle des billets;15060;Colombier;48.1058903932463, -1.68215432052243;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_CVI_1;Quai vers Viasilva <-> Extérieur;15050;Cesson - Viasilva;48.131492949592, -1.62006133587874;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_CDG_2;Quai vers La Poterie <-> Extérieur;15007;Charles de Gaulle;48.1054604488328, -1.67682850261658;En fonctionnement;2025-06-19T17:29:20+02:00;1001;Ascenseur;ASC
ASC_GAR_1;Quai vers Kennedy <-> Salle des billets;15008;Gares;48.1038471114359, -1.67224485716552;En fonctionnement;2025-06-19T05:00:11+02:00;1001;Ascenseur;ASC
ASC_GAR_3;Salle des billets <-> Extérieur;15008;Gares;48.1038471114359, -1.67224485716552;En fonctionnement;2025-06-19T17:21:50+02:00;1001;Ascenseur;ASC
ASC_COL_2;Quai vers Gaîté <-> Salle des billets;15060;Colombier;48.1058903932463, -1.68215432052243;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_GAR_2;Quai vers La Poterie <-> Salle des billets;15008;Gares;48.1038471114359, -1.67224485716552;En fonctionnement;2025-06-19T05:00:11+02:00;1001;Ascenseur;ASC
ASC_GARB_1;Quai vers Viasilva <-> Salle des billets;15008;Gares;48.1038471114359, -1.67224485716552;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_CVI_2;Quai vers Gaîté <-> Extérieur;15050;Cesson - Viasilva;48.131492949592, -1.62006133587874;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_GARB_2;Quai vers Gaîté <-> Salle des billets;15008;Gares;48.1038471114359, -1.67224485716552;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
