Identifiant;Date de début de version;Date de fin de version;Est la version active;Nom court;Nom long;Famille commerciale;Parcours principal aller (ID);Parcours principal retour (ID);Billettique (ID);Couleur de tracé de la ligne;Couleur de texte de la ligne;Visibilité;Routeid gtfs/gtfs-rt
0003;2022-10-24;;Oui;C3;Rennes (Patton) <> Rennes (Henri Fréville);CHRONOSTAR;0003-A-1252-1509;0003-B-1509-1252;3;#ffcc00;#1a171b;Grand public;
0007;2022-10-24;;Oui;C7;Saint-Jacques-de-la-Lande (Saint-Jacques - Gaîté) <> Bruz (Bruz Centre);CHRONOSTAR;0007-A-2281-2361;0007-B-2361-2281;7;#d39d2f;#1a171b;Grand public;
0014;2022-10-24;;Oui;14;Cesson-Sévigné (Monniais) <> Rennes (Roazhon Park);Urbaine;0014-A-2143-1222;0014-B-1234-2059;14;#a96f23;#ffffff;Grand public;
0052;2002-01-01;;Oui;52;La Chapelle-des-Fougeretz (Besneraie) <> Montgermont <> Rennes <> Pacé <> Saint-Gilles (Ile des Bois);Métropolitaine;0052-A-4069-3732;0052-B-3732-4069;52;#00893e;#ffffff;Grand public;
0072;2018-09-03;;Oui;72;Rennes (Henri Fréville) <> Chartres-de-Bretagne <> Pont-Péan (Bois Esnault);Métropolitaine;0072-A-1534-3901;0072-B-3901-1534;72;#004f9e;#ffffff;Grand public;
0079;2002-01-01;;Oui;79;Rennes (Henri Fréville) <> Pont-Péan <> Laillé (Gingouillère);Métropolitaine;0079-A-1534-9237;0079-B-9237-1534;79;#61c3d9;#26171b;Grand public;
0083;2022-10-24;2025-08-31;Oui;83;Thorigné-Fouillard (ZA Bellevue) <> Betton (Champ Devant);Métropolitaine;0083-A-3324-2401;0083-B-2401-3324;83;#004f9e;#ffffff;Grand public;
0091;2015-03-02;;Oui;91;Noyal-Châtillon-sur-Seiche (Petite Saudrais) <> Chartres-de-Bretagne <> Bruz (Cicé Blossac/Pont-Réan);Intercommunale;0091-A-2719-2347;0091-B-2327-2710;91;#aecc52;#1a171b;Grand public;
0121;2022-10-24;;Oui;N1;Rennes (République) <> Rennes (Kennedy Guyenne);STAR de Nuit;0121-A-1214-1568;0121-B-1568-1242;121;#004f9e;#ffffff;Grand public;
0153;2002-01-01;;Oui;153ex;Rennes (République) <> Vezin-le-Coquet <> L'Hermitage <> La Chapelle-Thouarault (Ville aux Archers);Express;0153-A-1167-4267;0153-B-4267-1167;153;#ffdd00;#3d3c3f;Grand public;
0159;2015-03-02;;Oui;159ex;Bruz (Bruz Gare) <> Rennes (Henri Fréville);Express;0159-A-1564-2372;0159-B-2372-1564;159;#ffdd00;#3d3c3f;Grand public;
