Geo Point;Geo Shape;gml_id;objectid;ligne;ordre;nom;x_cc48;y_cc48;x_wgs84;y_wgs84
48.12129906763593, -1.7112607872488226;"{""coordinates"": [-1.711260787248823, 48.12129906763593], ""type"": ""Point""}";metro_station.1;1;a;1;J.F. Kennedy;1349492.89;7224199.07;-1.7112607;48.121299
48.11452469248018, -1.680508939603472;"{""coordinates"": [-1.680508939603472, 48.11452469248018], ""type"": ""Point""}";metro_station.5;5;a;5;Sainte-Anne;1351732.24;7223307.9;-1.6805089;48.1145246
48.08767907152577, -1.6748160610084617;"{""coordinates"": [-1.674816061008462, 48.08767907152577], ""type"": ""Point""}";metro_station.11;11;a;11;Henri Fréville;1351974.44;7220302.91;-1.674816;48.087679
48.0864014304361, -1.6677847316876904;"{""coordinates"": [-1.66778473168769, 48.0864014304361], ""type"": ""Point""}";metro_station.12;12;a;12;Italie;1352481.19;7220148.01;-1.6679;48.0865643
48.096516510704475, -1.6983915203025544;"{""coordinates"": [-1.698391520302554, 48.096516510704475], ""type"": ""Point""}";metro_station.17;17;b;2;La Courrouze;1350280.79;7221391.02;-1.698399;48.096522
48.121240642235904, -1.7039291787219282;"{""coordinates"": [-1.703929178721928, 48.121240642235904], ""type"": ""Point""}";metro_station.2;2;a;2;Villejean-Université;1350037.27;7224159.28;-1.7039291;48.1212406
48.118137095453406, -1.6875995214356685;"{""coordinates"": [-1.687599521435668, 48.118137095453406], ""type"": ""Point""}";metro_station.4;4;a;4;Anatole France;1351229.7;7223740.86;-1.6875995;48.118137
48.10975921702333, -1.6791819161592585;"{""coordinates"": [-1.679181916159258, 48.10975921702333], ""type"": ""Point""}";metro_station.6;6;a;6;République;1351798.72;7222773.05;-1.6791819;48.1097592
48.10384711144076, -1.6722448571655084;"{""coordinates"": [-1.672244857165508, 48.10384711144076], ""type"": ""Point""}";metro_station.8;8;a;8;Gares;1352274.5;7222085.62;-1.6722448;48.1038471
48.09347968655579, -1.6744184213711972;"{""coordinates"": [-1.674418421371197, 48.09347968655579], ""type"": ""Point""}";metro_station.10;10;a;10;Clemenceau;1352043.09;7220944.86;-1.6744184;48.0934796
48.08773187767509, -1.6542782964879712;"{""coordinates"": [-1.654278296487971, 48.08773187767509], ""type"": ""Point""}";metro_station.14;14;a;14;Le Blosne;1353501.91;7220216.27;-1.6542782;48.0877318
48.087490354525315, -1.644572973092827;"{""coordinates"": [-1.644572973092827, 48.087490354525315], ""type"": ""Point""}";metro_station.15;15;a;15;La Poterie;1354221.95;7220145.89;-1.6445729;48.0874903
48.105890393251116, -1.6821543205224017;"{""coordinates"": [-1.682154320522402, 48.105890393251116], ""type"": ""Point""}";metro_station.20;20;b;5;Colombier;1351551.69;7222357.12;-1.682154;48.10589
48.12939463750451, -1.6573002631051488;"{""coordinates"": [-1.657300263105149, 48.12939463750451], ""type"": ""Point""}";metro_station.26;26;b;11;Les Gayeulles;1353556.86;7224853.6;-1.6573;48.129394
48.12155677340307, -1.6933998961541978;"{""coordinates"": [-1.693399896154198, 48.12155677340307], ""type"": ""Point""}";metro_station.3;3;a;3;Pontchaillou;1350821.8;7224146.62;-1.6933998;48.1215567
48.09754273012921, -1.6754515636356158;"{""coordinates"": [-1.675451563635616, 48.09754273012921], ""type"": ""Point""}";metro_station.9;9;a;9;Jacques Cartier;1351993.65;7221400.44;-1.6754515;48.0975427
48.10421227498991, -1.672090348271766;"{""coordinates"": [-1.672090348271766, 48.10421227498991], ""type"": ""Point""}";metro_station.21;21;b;6;Gares;1352288.44;7222125.45;-1.67209;48.104212
48.13149294959686, -1.620061335878704;"{""coordinates"": [-1.620061335878704, 48.13149294959686], ""type"": ""Point""}";metro_station.30;30;b;15;Cesson - Viasilva;1356337.6;7224919.81;-1.620061;48.131492
48.11475584510254, -1.67994990366883;"{""coordinates"": [-1.67994990366883, 48.11475584510254], ""type"": ""Point""}";metro_station.23;23;b;8;Sainte-Anne;1351775.34;7223331.03;-1.679949;48.114755
48.10546044883768, -1.6768285026166236;"{""coordinates"": [-1.676828502616624, 48.10546044883768], ""type"": ""Point""}";metro_station.7;7;a;7;Charles de Gaulle;1351944.66;7222285.35;-1.6768285;48.1054604
48.1271460277789, -1.6280229700624538;"{""coordinates"": [-1.628022970062454, 48.1271460277789], ""type"": ""Point""}";metro_station.29;29;b;14;Atalante;1355717.09;7224472.89;-1.628022;48.127146
48.12212919727574, -1.6391162398588182;"{""coordinates"": [-1.639116239858818, 48.12212919727574], ""type"": ""Point""}";metro_station.28;28;b;13;Beaulieu - Université;1354859.3;7223965.71;-1.639116;48.122129
