Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
1314101328;1314101328;En ligne;0001;C1;0;Chantepie;48.104321, -1.670155;-3
-973300320;-973300320;En ligne;0032;32;0;Alma Sud;48.096204, -1.660705;-46
1496607296;1496607296;Hors-service;;;;;48.110397, -1.641633;
-2068336128;-2068336128;Hors-service;;;;;48.110635, -1.642905;
121735488;121735488;En ligne;0032;32;1;Saint-Grégoire;48.093496, -1.670114;292
1679113264;1679113264;En ligne;0050;50;1;Thorigné;48.13304, -1.620988;0
-1885830160;-1885830160;Hors-service;;;;;48.109833, -1.643144;
1581783232;1581783232;En ligne;0013;13;0;Porte de Ker Lann;48.087628, -1.645956;-80
1861619232;1861619232;En ligne;0153;153ex;0;La Chapelle-Th.;48.12286, -1.788984;-19
-1703324192;-1703324192;En ligne;0050;50;1;Thorigné;48.1375, -1.621957;66
2129301136;2129301136;En ligne;0064;64;1;Acigné;48.135427, -1.543164;52
2044125200;2044125200;Hors-service;;;;;48.110236, -1.642507;
-1338312256;-1338312256;Hors-service;;;;;48.110237, -1.642265;
-1983160192;-1983160192;Hors-service;;;;;48.109512, -1.642591;
-1520818224;-1520818224;En ligne;0010;10;1;Beaulieu Chimie;48.116373, -1.67106;1864
-1155806288;-1155806288;Hors-service;;;;;48.110001, -1.643226;
-1800654224;-1800654224;Hors-service;;;;;48.109515, -1.642511;
-608288384;-608288384;En ligne;0034;34;1;ZA Saint-Sulpice;48.118594, -1.600662;-94
-790794352;-790794352;En ligne;0013;13;1;Chantepie;48.088894, -1.70621;-79
-1824962416;-1824962416;En ligne;0004;C4;1;ZA Saint-Sulpice;48.135681, -1.693075;3109
-243276448;-243276448;En ligne;0013;13;1;Chantepie;48.106151, -1.702309;291
-425782416;-425782416;En ligne;0014;14;0;Roazhon Park;48.117195, -1.634032;0
-1277444512;-1277444512;En ligne;0004;C4;1;ZA Saint-Sulpice;48.121785, -1.703823;1278
304241456;304241456;Haut-le-pied;0001;C1;1;Saint-Grégoire;48.157117, -1.687397;
-60770480;-60770480;En ligne;0053;53;1;Rennes;48.116394, -1.710127;24
-729926608;-729926608;Hors-service;;;;;48.115756, -1.577707;
486747424;486747424;En ligne;0001;C1;1;Saint-Grégoire;48.133442, -1.685214;405
851759360;851759360;Hors-service;;;;;48.110712, -1.643235;
-547420640;-547420640;En ligne;0004;C4;1;ZA Saint-Sulpice;48.135753, -1.693068;0
669253392;669253392;En ligne;0013;13;0;Porte de Ker Lann;48.087186, -1.675099;-185
1399277264;1399277264;En ligne;0013;13;1;Chantepie;48.055484, -1.738829;19
97264;97264;En ligne;0004;C4;0;Grand Quartier;48.136635, -1.692191;652
1034265328;1034265328;En ligne;0059;59;1;Rennes;48.029115, -1.752676;0
1946795168;1946795168;En ligne;0011;11;1;La Poterie;48.107427, -1.739289;1334
730121136;730121136;En ligne;0006;C6;0;Aéroport;48.092752, -1.703297;730
1216771296;1216771296;Hors-service;;;;;48.064153, -1.702514;
-1618148256;-1618148256;Hors-service;;;;;48.096873, -1.625226;
912627104;912627104;En ligne;0005;C5;0;Lycée Bréquigny;48.123752, -1.651544;38
1764289200;1764289200;En ligne;0013;13;1;Chantepie;48.083845, -1.628027;-108
-1435642288;-1435642288;Hors-service;;;;;48.096392, -1.625076;
1642650976;1642650976;En ligne;0006;C6;1;Cesson-Sévigné;48.068001, -1.727066;0
-705618416;-705618416;En ligne;0055;55;0;Mordelles Le Verger;48.063332, -1.868526;304
-1253136320;-1253136320;Haut-le-pied;0154;154ex;0;Dépôt;48.103917, -1.879077;
1825156944;1825156944;En ligne;0004;C4;0;Grand Quartier;48.128162, -1.693996;913
1922486976;1922486976;Hors-service;;;;;48.115834, -1.577553;
-1070630352;-1070630352;En ligne;0068;68;0;Rennes;48.22168, -1.802267;0
-1739786480;-1739786480;En ligne;0004;C4;1;ZA Saint-Sulpice;48.116083, -1.705065;1571
2104992944;2104992944;En ligne;0004;C4;0;Grand Quartier;48.112989, -1.641282;1618
-2007468384;-2007468384;Inconnu;0004;C4;1;ZA Saint-Sulpice;48.128955, -1.696275;
-1009762608;-1009762608;Hors-service;;;;;48.108954, -1.641869;
-1642456448;-1642456448;En ligne;0010;10;0;Porte de Cleunay;48.117205, -1.690276;10
-1094938544;-1094938544;En ligne;0006;C6;0;Aéroport;48.113518, -1.590516;0
-462244704;-462244704;En ligne;0001;C1;0;Chantepie;48.109851, -1.680039;-114
-1459950480;-1459950480;En ligne;0006;C6;1;Cesson-Sévigné;48.100952, -1.690273;467
-912432576;-912432576;En ligne;0006;C6;1;Cesson-Sévigné;48.098203, -1.699085;-45
85273200;85273200;En ligne;0001;C1;0;Chantepie;48.155775, -1.671246;31
365109200;365109200;En ligne;0006;C6;1;Cesson-Sévigné;48.115688, -1.600732;-209
-364914672;-364914672;Hors-service;;;;;48.111752, -1.680275;
997803040;997803040;Haut-le-pied;0003;C3;1;Patton;48.112156, -1.643874;
547615168;547615168;En ligne;0004;C4;0;Grand Quartier;48.11632, -1.633605;370
182603232;182603232;En ligne;0004;C4;1;ZA Saint-Sulpice;48.132852, -1.695746;1040
1180309008;1180309008;En ligne;0004;C4;1;ZA Saint-Sulpice;48.11, -1.669015;1672
1277639040;1277639040;En ligne;0006;C6;0;Aéroport;48.116327, -1.607236;-24
1095133072;1095133072;En ligne;0006;C6;1;Cesson-Sévigné;48.105482, -1.685386;834
-1301752704;-1301752704;En ligne;0012;12;1;Villejean-U;48.122514, -1.68415;251
1460145008;1460145008;En ligne;0004;C4;0;Grand Quartier;48.121639, -1.63243;32
-2104798416;-2104798416;Haut-le-pied;0006;C6;0;Dépôt;48.110653, -1.658426;
-571728832;-571728832;Hors-service;;;;;48.11112, -1.643877;
2007662912;2007662912;En ligne;0006;C6;0;Aéroport;48.09286, -1.703535;155
-1557280512;-1557280512;En ligne;0010;10;0;Porte de Cleunay;48.113401, -1.693438;815
705812944;705812944;Hors-service;;;;;48.109198, -1.641635;
-1922292448;-1922292448;En ligne;0006;C6;0;Aéroport;48.113435, -1.590347;173
-1192268576;-1192268576;Hors-service;;;;;48.108955, -1.641627;
1618342784;1618342784;En ligne;0012;12;1;Villejean-U;48.107296, -1.673312;138
-827256640;-827256640;Hors-service;;;;;48.115913, -1.577627;
-644750672;-644750672;En ligne;0001;C1;0;Chantepie;48.085513, -1.612177;-222
1800848752;1800848752;Hors-service;;;;;48.109201, -1.642026;
-97232768;-97232768;Hors-service;;;;;48.108957, -1.642031;
