Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision;idRame
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T17:54:58+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T17:51:49+02:00;Temps réel;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:07:13+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T17:56:43+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T17:53:10+02:00;Temps réel;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:12:28+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T17:58:28+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:00:13+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:14:13+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:03:43+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:01:58+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:21:13+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:22:58+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:05:28+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:28:23+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:34:34+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:08:58+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:51:26+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:37:24+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:10:43+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:57:04+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:08:20+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:15:58+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:59:53+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:16:47+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:17:43+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:13:58+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:19:36+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:19:28+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:28:03+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:30:52+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:24:43+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:01:51+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:33:41+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:26:31+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:18:42+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:39:19+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:30:03+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:23:14+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:44:57+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:31:38+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:27:43+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:53:24+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:40:14+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 17:54:15+0200;2025-06-19T17:54:33+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:59:02+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:42:59+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 17:56:00+0200;2025-06-19T17:56:18+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:07:29+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:45:48+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:03:00+0200;2025-06-19T18:03:18+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:15:51+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:48:37+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:04:45+0200;2025-06-19T18:05:03+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:32:09+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T18:54:15+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:06:30+0200;2025-06-19T18:06:48+02:00;Applicable;
