Geo Point;Geo Shape;gml_id;id;plateforme;viabilite;h_rm
47.97591478057293, -1.5496216903688653;"{""coordinates"": [[[-1.555326044543269, 47.977264979708934], [-1.554756463995243, 47.977158604714475], [-1.553521013375175, 47.97692358175902], [-1.551928589725682, 47.97661383108643], [-1.550834049627072, 47.97635750171891], [-1.54913145371407, 47.975916143934825], [-1.548417366127, 47.975702453610374], [-1.547294607987595, 47.975343116897896], [-1.546679025539298, 47.975138563392974], [-1.546031208016146, 47.97490314660689], [-1.545375411237499, 47.97465716300663], [-1.544587513408214, 47.974337272887105], [-1.544050228524415, 47.97410497081533]]], ""type"": ""MultiLineString""}";circuit_vh.9;9;S;N2;oui
48.112328189631214, -1.6739496161066;"{""coordinates"": [[[-1.671127851552365, 48.1121916897616], [-1.671233973993796, 48.11219422670751], [-1.672147960551701, 48.112293424227104], [-1.672635562149166, 48.11234966085579]], [[-1.672635562149166, 48.11234966085579], [-1.673039919044949, 48.112485058684186], [-1.673570086623288, 48.11273626542958]], [[-1.673570086623288, 48.11273626542958], [-1.674236230086739, 48.113354896094876], [-1.674258790130391, 48.113361818343215], [-1.674634718651098, 48.11347737168252], [-1.674800555334027, 48.11351072739267], [-1.675099850513813, 48.11352306828207]], [[-1.675099850513813, 48.11352306828207], [-1.675146051609224, 48.11341080848173], [-1.675235939563552, 48.11319269852694], [-1.675280535096059, 48.113053832176085], [-1.675320199604093, 48.11284722541981], [-1.675274339923002, 48.112632292018766], [-1.675145605767354, 48.11240856375021]], [[-1.675145605767354, 48.11240856375021], [-1.675111842292674, 48.111948587395126], [-1.674772556446757, 48.11137181909752], [-1.674338329478171, 48.110657846881836]], [[-1.674338329478171, 48.110657846881836], [-1.674192916416585, 48.110201673170884]]], ""type"": ""MultiLineString""}";circuit_vh.103;103;RN;N2;non
48.105082503850944, -1.6846053440007762;"{""coordinates"": [[[-1.684499717778185, 48.106561721955764], [-1.684598435818282, 48.106488406546], [-1.684637787012268, 48.10631649262911], [-1.684630484364179, 48.10556492954729], [-1.684645497674379, 48.105431603948446], [-1.684655016182399, 48.10533287396039], [-1.684622559726729, 48.10448506853111], [-1.684616559558418, 48.10407239817139], [-1.684595894133533, 48.10401559811071], [-1.684410635421312, 48.103688467508505], [-1.684344902942823, 48.10361923152558]]], ""type"": ""MultiLineString""}";circuit_vh.178;178;RS;N2;non
48.11056393282054, -1.650918829690503;"{""coordinates"": [[[-1.655472762831799, 48.10993262400457], [-1.655339161963183, 48.109945941048196], [-1.654419450195673, 48.109989001150986], [-1.653768935610393, 48.11003353185333], [-1.653180272242647, 48.11008116845751], [-1.652811989752208, 48.11011812539623], [-1.651824365293977, 48.11027176374201], [-1.65121028698566, 48.110389858183744], [-1.650577541801695, 48.11052689835392], [-1.647817283865318, 48.111211546737024], [-1.646422566036434, 48.11155745741297]]], ""type"": ""MultiLineString""}";circuit_vh.273;273;RN;N2;non
48.11493896686659, -1.6744882171992452;"{""coordinates"": [[[-1.675099850513813, 48.11352306828207], [-1.675078014122801, 48.113596852843514], [-1.674475218040451, 48.11455739273479], [-1.67445124956597, 48.11467298339477], [-1.674424962931605, 48.11480011188658], [-1.674377109105627, 48.11510346558952], [-1.674178634343439, 48.11605351332016], [-1.674140825398752, 48.11635934186741], [-1.674136377324332, 48.11644980998796]]], ""type"": ""MultiLineString""}";circuit_vh.278;278;RN;N2;non
48.104642054986265, -1.6643532095683267;"{""coordinates"": [[[-1.662717594125369, 48.10356249384052], [-1.662752368106746, 48.10365211541503], [-1.663138787597708, 48.103892380169015], [-1.664442541439233, 48.104702992114376], [-1.66542424553822, 48.105313341215464], [-1.665550172781447, 48.10538158329443], [-1.665675068611805, 48.105438405531366], [-1.665830868284286, 48.105532014722776], [-1.666044873494542, 48.10566511784344]]], ""type"": ""MultiLineString""}";circuit_vh.92;92;RS;N2;non
48.13679398622998, -1.6589938707691159;"{""coordinates"": [[[-1.658621830666169, 48.13852135995084], [-1.658634718751812, 48.13840373864241], [-1.658656048012226, 48.13820843001077], [-1.658682547100355, 48.137855224265614], [-1.658697250008607, 48.13737896137941], [-1.658726973057675, 48.13726935796178], [-1.658774855475848, 48.13709225627862], [-1.658887330866989, 48.136850319858006], [-1.65905082836038, 48.13651836118454], [-1.6593081591032, 48.13586811191721], [-1.659603567036125, 48.13512162430611]]], ""type"": ""MultiLineString""}";circuit_vh.188;188;RN;N2;non
48.13523318768926, -1.6552969254434735;"{""coordinates"": [[[-1.659076803927087, 48.13466636750343], [-1.657811660123943, 48.13505423493537], [-1.657476758809272, 48.13515862098912], [-1.657360039702915, 48.13519722621796], [-1.65693174621634, 48.135336207716584], [-1.656878529932543, 48.135353589841074], [-1.656647878211299, 48.13542888397966], [-1.656616212058931, 48.135437464350694], [-1.656518831804118, 48.135463662242145], [-1.656346443550499, 48.13550145617754], [-1.656193342250963, 48.13552774664719], [-1.656095650929026, 48.13554305399455], [-1.655976638640747, 48.13555778250653], [-1.655839512435124, 48.13557018042171], [-1.655699472306206, 48.135581614835495], [-1.655623385613165, 48.135581270117015], [-1.655533350302113, 48.135581489845066], [-1.655409895763573, 48.1355768446631], [-1.655313037814353, 48.13557157357561], [-1.655214148128796, 48.13556467262298], [-1.655032631306837, 48.135544625864064], [-1.654843947117943, 48.135516759359554], [-1.654522220972145, 48.1354347159945], [-1.654193509377166, 48.135339148450676], [-1.653994420619477, 48.1352812657775], [-1.653832691845634, 48.13523734967031], [-1.65366923080125, 48.13519809879367], [-1.653497055076474, 48.13516370548783], [-1.65330049242459, 48.135136515664946], [-1.653175062123939, 48.135123388059], [-1.653111324885535, 48.1351166853376], [-1.652948745392184, 48.135112538863716], [-1.652306932888099, 48.13512903573637]], [[-1.652306932888099, 48.13512903573637], [-1.65229088871216, 48.13508102778395], [-1.652253067058982, 48.135052732532856], [-1.652194598189883, 48.135028335843664], [-1.652116218629004, 48.13501898094391], [-1.652040509355382, 48.135037720929226], [-1.651982162950702, 48.13506837344953], [-1.65197527133779, 48.135088915893824], [-1.651965615552892, 48.13511769940675], [-1.651966879949704, 48.13515855602633], [-1.651989327319326, 48.13519846592235], [-1.652027444256523, 48.13523152489104], [-1.652087898003768, 48.13525106582717], [-1.652151636120833, 48.135254795609306], [-1.652239006077957, 48.13523549388608], [-1.652274448614354, 48.135212074872626], [-1.652302066012359, 48.13517951126393], [-1.652306932888099, 48.13512903573637]]], ""type"": ""MultiLineString""}";circuit_vh.293;293;RN;N2;non
48.041420358935, -1.5238497423494903;"{""coordinates"": [[[-1.533942820281865, 48.040981886470014], [-1.53366530038475, 48.040899844599046], [-1.532909219060519, 48.04067632389462], [-1.532144426229027, 48.04049985838551], [-1.53149178511649, 48.04039022117724], [-1.53091204389766, 48.04032402267753], [-1.52973648987742, 48.040245123491715], [-1.527901326496824, 48.040164292091184], [-1.52708794923581, 48.040160732235485], [-1.526320982218996, 48.04020165492578], [-1.525895129693823, 48.04025407028682], [-1.525376438714218, 48.040338646169275], [-1.524712999079282, 48.04046492104583], [-1.523951316208241, 48.040687536285155], [-1.521627807967766, 48.041523503979576], [-1.520892685355832, 48.04177204253847], [-1.518375423200776, 48.04262413267819], [-1.517346414397892, 48.04298727652985]], [[-1.516744868533658, 48.043199559305236], [-1.516759736009728, 48.04321803158636], [-1.516796639162556, 48.04324930259473], [-1.516841079379786, 48.04327580129209], [-1.516891706339617, 48.0432967225312], [-1.51694698178856, 48.04331143062484], [-1.517005226174578, 48.043319478658724], [-1.517064669753967, 48.043320622105036], [-1.517123506325647, 48.04331482621478], [-1.517179948173932, 48.04330226710045], [-1.517232280311793, 48.04328332635862], [-1.517278912637872, 48.04325857951242], [-1.517318428238633, 48.04322877848797], [-1.517349626467967, 48.043194828772535], [-1.517371559398058, 48.04315776192345], [-1.517383560608034, 48.043118704206854], [-1.517385265485718, 48.04307884238095], [-1.517376622242363, 48.04303938761054], [-1.517357893531009, 48.04300153871561], [-1.517346414397892, 48.04298727652985]], [[-1.517346414397892, 48.04298727652985], [-1.517329648416646, 48.04296644570936], [-1.517292745144114, 48.04293517487942], [-1.517248305000782, 48.04290867634542], [-1.517197678263249, 48.04288775526236], [-1.517142403195961, 48.042873047288076], [-1.517084159291529, 48.042864999323], [-1.517024716248959, 48.042863855886154], [-1.516965880166036, 48.04286965172687], [-1.516909438738042, 48.042882210737126], [-1.516857106887922, 48.042901151333446], [-1.516810474695725, 48.04292589800966], [-1.516770959021066, 48.042955698870735], [-1.516739760555257, 48.04298964842169], [-1.516717827243512, 48.043026715151406], [-1.51670582555195, 48.043065772799174], [-1.516704120151618, 48.04310563462409], [-1.516712762892045, 48.04314508943556], [-1.516731491183109, 48.04318293843459], [-1.516744868533658, 48.043199559305236]], [[-1.51481592971898, 48.04403964493031], [-1.515759212619859, 48.043546184015405], [-1.516031145543773, 48.04345142253166], [-1.516744868533658, 48.043199559305236]]], ""type"": ""MultiLineString""}";circuit_vh.217;217;S;N3;oui
48.17426534751373, -1.7165675779237513;"{""coordinates"": [[[-1.715493698130237, 48.17275925418805], [-1.715617258606085, 48.17329040501201], [-1.715587310450586, 48.173633627625144], [-1.715403044165398, 48.174078930886736], [-1.715224304481386, 48.17443333434589], [-1.715182227100866, 48.174625008201], [-1.715210160897737, 48.17473717690525], [-1.715340531179603, 48.174891859668726], [-1.715566044875681, 48.17497993207799], [-1.71582420112298, 48.175022925359244], [-1.716303689646546, 48.17495781571], [-1.716922880009406, 48.17478560656033], [-1.717052783934645, 48.17474947744616], [-1.717230158188965, 48.174700144827824], [-1.718388760431696, 48.17444826791303], [-1.717685886089146, 48.17420458315543], [-1.717099053139911, 48.17400935168241], [-1.716657772681037, 48.17374396481741], [-1.716150592159329, 48.17340969724309]]], ""type"": ""MultiLineString""}";circuit_vh.223;223;NO;N2;non
48.178021315707944, -1.718339786865461;"{""coordinates"": [[[-1.715493698130237, 48.17275925418805], [-1.716391464204493, 48.17397484605874], [-1.716922880009406, 48.17478560656033], [-1.717172132707282, 48.17516587204699], [-1.717765885747427, 48.17623459394792], [-1.717976917173602, 48.17663880565801], [-1.718134787012039, 48.176924114425894], [-1.718614047343811, 48.177930898520245], [-1.719063350245992, 48.17907089272719], [-1.719266604053322, 48.17961511579207], [-1.719506025490723, 48.18044246827453], [-1.71975748253797, 48.18144123082826], [-1.719900918097697, 48.182010930788714], [-1.720085976384685, 48.18293109670013], [-1.720242190398733, 48.18369348617342], [-1.720242598087532, 48.18369547889228]]], ""type"": ""MultiLineString""}";circuit_vh.224;224;CD;N3;non
48.11025693120877, -1.6675786842317506;"{""coordinates"": [[[-1.669502914525509, 48.11024866706216], [-1.667488819183417, 48.11025552737159], [-1.667115666684794, 48.1102562961755], [-1.665816790920143, 48.11027084643353], [-1.665654759498456, 48.1102613932886]]], ""type"": ""MultiLineString""}";circuit_vh.269;269;RN;N2;non
48.092913512172146, -1.674259094566073;"{""coordinates"": [[[-1.674237226026261, 48.09379840648679], [-1.674294389983052, 48.09226650617964], [-1.674199763470875, 48.09222981228217], [-1.674198432356505, 48.0920786136669]]], ""type"": ""MultiLineString""}";circuit_vh.249;249;RS;N2;non
48.12371676867072, -1.6533933792731;"{""coordinates"": [[[-1.654476241562893, 48.12126205903075], [-1.65442209653291, 48.12135969564007], [-1.654136154576764, 48.122117341979795], [-1.653925436404612, 48.12267524276497], [-1.653684749368258, 48.123303736814435], [-1.653444283365493, 48.12393474405074], [-1.653188701581262, 48.12457429129844], [-1.652882033077363, 48.12537557117367]], [[-1.652882033077363, 48.12537557117367], [-1.652776442692194, 48.12535236059284], [-1.651906012084598, 48.125121748255694], [-1.651753979497397, 48.12514013384015]]], ""type"": ""MultiLineString""}";circuit_vh.311;311;RN;N3;non
48.11844874164777, -1.6805833413075857;"{""coordinates"": [[[-1.680844094983694, 48.11716247109513], [-1.680866338725906, 48.1172518534463], [-1.680821683480252, 48.11759301620325], [-1.680771808349232, 48.11778922810225], [-1.680744360502276, 48.11789748320337], [-1.680594294588895, 48.11836863627199], [-1.680571220776996, 48.11842724423009], [-1.68038863874513, 48.11889305233457], [-1.680348049579461, 48.119077442292735], [-1.68034728961109, 48.119138746319194], [-1.680344281280803, 48.11930277428393], [-1.680392371951482, 48.11947823869209], [-1.680508050786797, 48.11971483848311]]], ""type"": ""MultiLineString""}";circuit_vh.316;316;RN;N3;non
